#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-15T20:52:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee72a26361	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/130/gcs3
#-nav=cat:V/130&tab:{V/130/gcs3}&key:source=V/130/gcs3&HTTPPRM:&&-ref=VIZ53ee72a26361&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=m_Name&-out=RAJ2000&-out=DEJ2000&-out=logTe&-out=[Fe/H]&-out=Dist&-out=VMag&-out=age&-out=UVel&-out=VVel&-out=WVel&-out=Vmag&-out=b-y&-out=m1&-out=c1&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/130/gcs3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/130/gcs3
#-order=I
#-out=Name
#-out=m_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=logTe
#-out=[Fe/H]
#-out=Dist
#-out=VMag
#-out=age
#-out=UVel
#-out=VVel
#-out=WVel
#-out=Vmag
#-out=b-y
#-out=m1
#-out=c1
#-out=Simbad
#

#RESOURCE=yCat_5130
#Name: V/130
#Title: Geneva-Copenhagen Survey of Solar neighbourhood III (Holmberg+, 2009)
#Table	V_130_gcs3:
#Name: V/130/gcs3
#Title: Geneva-Copenhagen catalogue III {\em(includes uvby data from Olsen 1984A\&AS...57..443O)}
#Column	Name	(a11)	Object name (HD, BD, CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	Components included in photometry (2)	[ucd=meta.code.multip]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	logTe	(F6.3)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	Dist	(I4)	? Distance [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	VMag	(F5.2)	? Absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	age	(F4.1)	? Age, in Gigayears	[ucd=time.age]
#Column	UVel	(I5)	? Heliocentric space velocity component U (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.x]
#Column	VVel	(I5)	? Heliocentric space velocity component V (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.y]
#Column	WVel	(I5)	? Heliocentric space velocity component W (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.z]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren (b-y) index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	Stroemgren m_1_ index ((v-b) - (b-y))	[ucd=phot.color]
#Column	c1	(F6.3)	Stroemgren c_1_ index ((u-v) - (v-b))	[ucd=phot.color]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
Name	m_Name	RAJ2000	DEJ2000	logTe	[Fe/H]	Dist	VMag	age	UVel	VVel	WVel	Vmag	b-y	m1	c1	Simbad
HD 166     	A   	00 06 36.7	+29 01 17	 3.732	-0.05	  14	 5.41	 8.3	  -15	  -22	  -10	 6.093	 0.460	 0.286	 0.311	Simbad
HD 189     	    	00 06 39.5	-24 37 15	 3.785	-0.08	 140	 2.84	 2.7	   37	  -31	   -7	 8.560	 0.347	 0.161	 0.458	Simbad
HD 200     	    	00 06 46.9	-04 21 00	 3.778	-0.31	 111	 3.00	 4.4	   -4	  -50	  -23	 8.222	 0.357	 0.149	 0.378	Simbad
HD 203     	    	00 06 50.0	-23 06 27	 3.825	-0.10	  39	 3.21	 1.5	  -11	  -15	  -10	 6.190	 0.256	 0.153	 0.513	Simbad
HD 219     	    	00 07 13.7	+73 12 37	 3.824	-0.17	 234	 1.03	 1.1	  -31	  -36	  -24	 7.875	 0.257	 0.154	 0.698	Simbad
HD 220     	    	00 07 04.7	+67 16 27	 3.806	-0.44	 126	 3.07	 2.8	     	     	     	 8.686	 0.320	 0.116	 0.464	Simbad
HD 222     	    	00 07 02.0	+22 50 40	 3.831	-0.16	 135	 2.64	 1.7	     	     	     	 8.290	 0.241	 0.158	 0.565	Simbad
HD 233     	    	00 07 07.6	-15 51 00	 3.788	-0.33	  96	 3.77	 4.1	  -23	  -27	    4	 8.680	 0.331	 0.140	 0.387	Simbad
HD 251     	    	00 07 18.3	+07 42 12	 3.800	-0.22	 102	 2.60	 2.4	    1	    9	  -15	 7.637	 0.309	 0.144	 0.492	Simbad
HD 268     	    	00 07 22.5	-25 21 23	 3.801	-0.28	  50	 3.56	 3.2	  -28	  -50	  -18	 7.064	 0.306	 0.140	 0.417	Simbad
HD 276     	    	00 07 13.4	-76 43 51	 3.818	-0.21	  80	 3.04	 2.2	  -15	  -29	  -18	 7.556	 0.271	 0.144	 0.493	Simbad
HD 285     	    	00 07 28.1	-56 00 41	 3.806	-0.22	 143	 1.71	 1.5	  -50	  -10	  -15	 7.489	 0.297	 0.145	 0.520	Simbad
HD 291     	    	00 07 40.4	+39 02 05	 3.806	-0.16	 106	 2.88	 2.4	   46	   -7	  -14	 8.019	 0.297	 0.148	 0.488	Simbad
HD 292     	AB  	00 07 43.1	+37 11 07	 3.798	-0.04	 125	 1.95	 1.6	   -3	   -5	  -10	 7.436	 0.317	 0.160	 0.496	Simbad
HD 299     	    	00 07 52.0	+55 34 37	 3.767	-0.07	  49	 4.38	 6.4	  -42	  -20	   -6	 7.831	 0.388	 0.192	 0.356	Simbad
HD 307     	    	00 07 37.4	-45 07 10	 3.772	-0.03	 120	 2.80	 2.8	   12	  -59	    0	 8.198	 0.379	 0.177	 0.430	Simbad
HD 308     	    	00 07 37.8	-51 57 17	 3.740	-0.22	    	     	    	     	     	     	 9.402	 0.438	 0.205	 0.356	Simbad
HD 309     	AB  	00 07 34.7	-60 38 30	 3.785	 0.01	 109	 3.06	 2.8	   15	  -53	  -35	 8.379	 0.382	 0.169	 0.402	Simbad
HD 330     	    	00 08 04.6	+53 47 46	 3.766	-0.26	 109	 2.96	 4.4	   -7	  -57	  -32	 8.151	 0.384	 0.162	 0.383	Simbad
HD 333     	    	00 08 00.7	+29 50 15	 3.833	 0.13	 221	 0.72	 0.9	     	     	     	 7.538	 0.261	 0.174	 0.748	Simbad
HD 334     	    	00 08 00.2	-07 32 40	 3.797	-0.17	  86	 3.18	 2.9	    5	    5	   30	 7.848	 0.317	 0.149	 0.454	Simbad
HD 361     	    	00 08 16.3	-14 49 28	 3.765	-0.25	  27	 4.85	 2.0	    3	    2	   -7	 7.045	 0.388	 0.187	 0.304	Simbad
HD 372     	    	00 08 35.3	+53 15 14	 3.814	-0.19	 135	 2.11	 1.7	  -39	  -41	   -8	 7.752	 0.281	 0.147	 0.526	Simbad
HD 373     	    	00 08 30.1	+52 20 11	 3.830	-0.48	  77	 3.35	 1.6	  -25	  -18	    5	 7.782	 0.241	 0.137	 0.514	Simbad
HD 375     	    	00 08 28.4	+34 56 04	 3.775	 0.09	  86	 2.75	 2.5	  -40	  -25	   -2	 7.409	 0.377	 0.191	 0.417	Simbad
HD 377     	    	00 08 25.7	+06 37 00	 3.766	-0.10	  39	 4.62	 4.1	  -14	   -7	   -4	 7.581	 0.391	 0.203	 0.322	Simbad
HD 382     	    	00 08 25.4	-21 24 31	 3.698	-0.42	    	     	    	     	     	     	 8.346	 0.512	 0.291	 0.329	Simbad
HD 392     	    	00 08 27.6	-24 05 37	 3.797	-0.04	 123	 2.15	 1.8	  -26	   -9	   -1	 7.599	 0.321	 0.161	 0.517	Simbad
HD 400     	    	00 08 40.9	+36 37 37	 3.788	-0.26	  32	 3.63	 3.9	   27	  -10	   -7	 6.190	 0.332	 0.147	 0.386	Simbad
HD 404     	A   	00 08 57.2	+66 27 23	 3.706	 0.31	  30	 6.22	    	    7	  -65	   -8	 8.622	 0.516	 0.425	 0.326	Simbad
HD 410     	    	00 08 35.1	-66 25 01	 3.751	 0.02	  85	 4.77	 8.9	  -76	   13	   -2	 9.425	 0.426	 0.236	 0.343	Simbad
HD 427     	    	00 08 46.1	-34 47 39	 3.807	-0.06	 166	 1.79	 1.5	  -11	    3	   19	 7.882	 0.299	 0.157	 0.478	Simbad
HD 432     	A   	00 09 10.6	+59 08 59	 3.842	 0.03	  17	 1.15	 0.9	  -40	   -8	  -22	 2.270	 0.216	 0.177	 0.785	Simbad
HD 435     	    	00 08 56.5	+12 48 15	 3.783	-0.05	  80	 3.95	 4.0	   -8	  -10	  -18	 8.477	 0.353	 0.174	 0.387	Simbad
HD 439     	    	00 08 48.4	-47 03 38	 3.815	 0.13	 138	 2.03	 1.4	  -44	  -57	   -7	 7.817	 0.304	 0.166	 0.528	Simbad
HD 447     	    	00 09 04.3	+19 55 28	 3.806	-0.06	 106	 1.99	 1.6	  -12	   11	   -1	 7.114	 0.301	 0.160	 0.543	Simbad
HD 457     	    	00 08 59.6	-39 44 13	 3.770	 0.12	  60	 3.83	 4.1	  -31	  -17	   14	 7.725	 0.391	 0.203	 0.406	Simbad
HD 460     	A   	00 09 10.2	+44 43 18	 3.801	-0.32	 128	 3.25	 3.0	  -17	  -31	  -20	 8.782	 0.306	 0.135	 0.438	Simbad
HD 466     	    	00 09 02.6	-35 05 30	 3.820	-0.10	 142	 2.02	 1.5	  -21	  -18	   13	 7.779	 0.268	 0.157	 0.588	Simbad
HD 469     	AB  	00 09 02.3	-54 00 06	 3.739	 0.28	 128	 0.79	    	  -28	   -6	   -7	 6.332	 0.460	 0.258	 0.473	Simbad
HD 471     	A   	00 09 15.7	+25 16 55	 3.750	-0.17	  51	 4.23	11.9	  -24	  -33	  -38	 7.789	 0.421	 0.207	 0.334	Simbad
HD 483     	    	00 09 19.4	+17 32 02	 3.762	 0.01	  52	 3.50	 5.8	   21	  -40	   -1	 7.065	 0.404	 0.209	 0.364	Simbad
HD 489     	AB  	00 09 28.1	+19 06 56	 3.753	-0.03	  68	 3.79	 8.0	  -72	  -57	   14	 7.953	 0.421	 0.226	 0.339	Simbad
HD 493     	AB  	00 09 21.0	-27 59 16	 3.818	-0.08	  77	 0.97	 1.0	  -21	  -18	  -12	 5.420	 0.273	 0.158	 0.608	Simbad
HD 494     	    	00 09 23.3	-41 02 40	 3.717	 0.05	  79	 4.63	    	  -21	  -70	   -2	 9.118	 0.492	 0.361	 0.313	Simbad
HD 531     	AB  	00 09 51.2	+08 27 11	 3.743	-0.08	  76	 4.24	12.3	  -18	   -3	  -16	 8.650	 0.439	 0.246	 0.320	Simbad
HD 2482    	AB  	00 28 13.5	-54 37 21	 3.720	-0.20	    	     	    	     	     	     	 8.281	 0.477	 0.267	 0.330	Simbad
HD 536     	AB  	00 09 41.5	-37 18 53	 3.811	-0.12	 130	 2.78	 2.1	   35	    2	    9	 8.355	 0.287	 0.152	 0.504	Simbad
HD 546     	AB  	00 09 50.0	-33 47 20	 3.710	-0.11	  55	 5.12	    	   34	  -27	   -4	 8.832	 0.498	 0.352	 0.302	Simbad
HD 547     	    	00 09 48.5	-40 53 34	 3.755	-0.27	  77	 4.15	11.4	  -22	  -63	  -12	 8.578	 0.408	 0.177	 0.358	Simbad
HD 564     	    	00 09 52.8	-50 16 04	 3.766	-0.35	  54	 4.68	 6.5	   27	    4	   -4	 8.323	 0.381	 0.170	 0.307	Simbad
HD 570     	AB  	00 10 24.7	+58 31 25	 3.846	 0.26	    	     	    	     	     	     	 8.217	 0.207	 0.197	 0.802	Simbad
HD 578     	    	00 10 02.5	-63 17 48	 3.810	-0.13	 110	 2.92	 2.2	   26	   -3	   18	 8.134	 0.290	 0.151	 0.473	Simbad
HD 583     	    	00 10 24.0	+58 29 22	 3.806	-0.22	 106	 2.61	 2.2	   54	    6	    4	 7.738	 0.297	 0.143	 0.482	Simbad
HD 604     	    	00 10 26.3	-14 27 08	 3.791	-0.13	 108	 3.18	 3.0	  -18	  -38	  -15	 8.353	 0.331	 0.155	 0.439	Simbad
HD 610     	    	00 10 04.4	-79 00 06	 3.808	-0.10	  91	 3.08	 2.3	    1	  -11	   -6	 7.878	 0.294	 0.153	 0.476	Simbad
HD 615     	    	00 10 29.5	+15 13 54	 3.804	-0.01	  78	 3.79	 1.0	   34	   -5	   -8	 8.245	 0.306	 0.165	 0.422	Simbad
HD 631     	    	00 10 39.1	+12 49 12	 3.776	-0.12	  66	 4.39	 4.1	  -14	   11	  -30	 8.475	 0.366	 0.176	 0.357	Simbad
HD 633     	    	00 10 40.7	+02 03 19	 3.800	-0.07	  56	 3.76	 2.1	   -1	   13	  -12	 7.514	 0.313	 0.162	 0.407	Simbad
HD 639     	    	00 10 46.8	+37 28 26	 3.818	-0.16	  98	 2.81	 2.1	  -18	  -18	    8	 7.764	 0.272	 0.152	 0.563	Simbad
HD 652     	A   	00 10 56.0	+48 06 37	 3.781	-0.16	  63	 4.43	 1.5	  -44	  -23	   -8	 8.429	 0.354	 0.171	 0.346	Simbad
HD 659     	    	00 10 42.4	-54 24 01	 3.730	-0.29	    	     	    	     	     	     	 8.548	 0.456	 0.228	 0.324	Simbad
HD 661/2   	    	00 10 38.5	-73 13 27	 3.836	 0.20	  70	 2.42	 1.1	  -43	   -7	   -2	 6.657	 0.233	 0.189	 0.624	Simbad
HD 693     	    	00 11 15.8	-15 28 04	 3.790	-0.37	  19	 3.55	 3.8	   19	  -13	  -18	 4.910	 0.326	 0.135	 0.399	Simbad
HD 694     	    	00 11 18.0	-21 14 58	 3.788	-0.04	  92	 3.53	 3.2	     	     	     	 8.339	 0.341	 0.168	 0.414	Simbad
HD 700     	    	00 11 24.4	+23 49 05	 3.776	-0.26	  55	 4.53	 3.2	    3	   11	    5	 8.239	 0.362	 0.168	 0.324	Simbad
HD 705     	    	00 11 18.0	-32 48 01	 3.744	-0.28	  61	 4.67	16.5	   33	   14	   -8	 8.601	 0.430	 0.225	 0.285	Simbad
HD 717     	AB  	00 11 35.2	-03 04 40	 3.786	-0.08	  71	 3.32	 3.2	  -40	  -35	    8	 7.580	 0.345	 0.163	 0.426	Simbad
HD 732     	    	00 11 36.4	-23 37 56	 3.797	 0.26	 112	 2.60	 1.8	  -26	  -14	   -2	 7.945	 0.355	 0.183	 0.482	Simbad
HD 734     	A   	00 11 30.8	-49 37 45	 3.733	-0.34	  49	 5.70	    	   13	   -5	    0	 9.143	 0.448	 0.256	 0.259	Simbad
HD 734     	B   	00 11 30.2	-49 37 41	      	     	  50	 7.49	    	   13	   -5	   -1	10.987	 0.655	 0.677	 0.119	Simbad
HD 737     	    	00 11 45.7	+27 30 36	 3.804	-0.17	  90	 3.68	 2.5	    5	  -11	   -6	 8.449	 0.303	 0.148	 0.449	Simbad
HD 738     	    	00 11 40.8	-09 42 10	 3.794	-0.13	 141	 2.79	 2.5	  -55	  -40	   -6	 8.530	 0.324	 0.153	 0.471	Simbad
HD 739     	    	00 11 44.0	-35 07 59	 3.810	-0.10	  21	 3.61	 1.6	  -24	    3	   17	 5.250	 0.290	 0.155	 0.432	Simbad
HD 741     	    	00 11 33.0	-58 54 35	 3.760	-0.23	  58	 4.53	 9.2	  -67	  -35	   -7	 8.355	 0.398	 0.180	 0.345	Simbad
HD 744     	AB  	00 11 50.1	+28 25 24	 3.793	-0.34	  81	 2.98	 2.9	   26	   24	   17	 7.510	 0.322	 0.137	 0.405	Simbad
HD 749     	    	00 11 38.0	-49 39 21	      	     	    	     	    	     	     	     	 7.903	 0.672	 0.499	 0.208	Simbad
HD 750     	    	00 11 35.7	-57 28 21	 3.710	-0.31	  38	 6.12	 0.2	   -8	  -31	  -20	 9.013	 0.492	 0.364	 0.249	Simbad
HD 755     	    	00 12 01.4	+28 36 23	 3.826	-0.16	 103	 2.12	 1.6	   35	  -46	  -15	 7.194	 0.253	 0.155	 0.635	Simbad
HD 768     	    	00 11 54.7	-22 49 03	 3.832	-0.24	  81	 3.39	 0.6	     	     	     	 7.934	 0.238	 0.153	 0.534	Simbad
HD 804     	    	00 12 28.3	+20 14 03	 3.764	-0.07	  54	 4.54	 6.6	  -33	  -63	   20	 8.197	 0.395	 0.196	 0.355	Simbad
HD 811     	    	00 12 32.9	+24 38 10	 3.845	 0.02	 243	 1.95	 1.2	     	     	     	 8.875	 0.206	 0.178	 0.761	Simbad
HD 818     	    	00 12 48.0	+46 05 43	 3.823	 0.01	  54	 2.95	 1.6	  -18	  -16	   -6	 6.627	 0.263	 0.167	 0.543	Simbad
HD 823     	    	00 12 32.8	-30 51 35	 3.736	-0.02	  48	 5.24	 9.7	   30	  -43	  -12	 8.657	 0.454	 0.275	 0.319	Simbad
HD 852     	    	00 13 00.0	+12 19 51	 3.829	-0.07	 134	 2.56	 1.6	  -29	  -17	   -6	 8.191	 0.248	 0.163	 0.627	Simbad
HD 870     	    	00 12 50.2	-57 54 45	 3.726	-0.20	  20	 5.70	 1.1	    9	    8	   -1	 7.222	 0.467	 0.294	 0.282	Simbad
HD 899     	AB  	00 13 18.3	-20 37 07	 3.802	-0.17	  89	 2.70	 2.3	  -33	    9	  -27	 7.456	 0.307	 0.148	 0.494	Simbad
HD 900     	    	00 13 17.6	-23 43 57	 3.828	-0.22	  87	 3.27	 1.6	   -8	   -3	  -19	 7.975	 0.247	 0.152	 0.544	Simbad
HD 903     	    	00 13 10.0	-43 03 54	 3.812	-0.10	  65	 3.48	 1.8	  -22	   -9	    7	 7.557	 0.287	 0.153	 0.479	Simbad
HD 905     	    	00 13 30.8	+41 02 07	 3.838	-0.26	  35	 3.01	 1.5	   35	  -18	  -10	 5.720	 0.222	 0.156	 0.613	Simbad
HD 911     	    	00 11 09.1	-87 24 51	 3.780	-0.05	 175	 2.53	 2.5	  -25	   -7	   -6	 8.851	 0.386	 0.169	 0.385	Simbad
HD 912     	    	00 13 46.5	+64 51 53	 3.781	-0.29	 101	 3.04	 4.4	  -38	  -10	   -1	 8.075	 0.349	 0.144	 0.424	Simbad
HD 924     	    	00 13 30.9	-40 21 29	 3.699	-0.08	  35	 6.36	    	  -19	   -4	  -16	 9.053	 0.518	 0.417	 0.283	Simbad
HD 931     	    	00 13 45.7	+08 11 36	 3.816	-0.06	  65	 3.33	 1.7	     	     	     	 7.412	 0.278	 0.156	 0.495	Simbad
HD 949     	    	00 14 02.8	+44 30 43	 3.835	-0.25	 117	 2.97	 1.7	  -32	  -12	    4	 8.398	 0.252	 0.147	 0.587	Simbad
HD 967     	    	00 14 04.4	-11 18 41	 3.746	-0.73	  43	 5.23	 9.9	  -55	  -80	    0	 8.375	 0.413	 0.163	 0.249	Simbad
HD 975     	    	00 14 13.0	+35 25 05	 3.805	-0.20	  75	 3.70	 2.5	   -4	    3	    1	 8.080	 0.300	 0.146	 0.436	Simbad
HD 976     	    	00 14 09.0	+26 15 31	 3.800	 0.07	 113	 1.64	 1.3	  -19	  -30	   -8	 7.001	 0.339	 0.163	 0.494	Simbad
HD 980     	    	00 13 53.0	-56 59 58	 3.794	-0.16	  68	 3.00	 2.8	  -41	    1	    3	 7.161	 0.324	 0.151	 0.455	Simbad
HD 982     	AB  	00 14 23.6	+43 50 45	 3.782	-0.16	 120	 2.77	 2.8	    8	    0	   14	 8.167	 0.351	 0.157	 0.417	Simbad
HD 984     	    	00 14 10.2	-07 11 56	 3.791	-0.11	  47	 3.97	 3.1	  -13	  -24	   -6	 7.337	 0.330	 0.167	 0.363	Simbad
HD 987     	A   	00 13 53.0	-74 41 17	 3.729	-0.36	  44	 5.55	13.1	   -9	  -20	   -2	 8.785	 0.455	 0.248	 0.275	Simbad
HD 1000    	    	00 14 20.8	-21 11 49	 3.795	-0.15	  55	 3.18	 2.9	   46	  -46	   10	 6.898	 0.321	 0.152	 0.442	Simbad
HD 1002    	    	00 14 20.2	-27 31 53	 3.760	 0.07	  51	 2.93	 3.7	   25	  -28	  -34	 6.460	 0.410	 0.221	 0.364	Simbad
HD 1004    	    	00 14 14.7	-55 04 10	 3.803	-0.15	  45	 3.39	 2.8	    9	  -11	  -12	 6.665	 0.305	 0.150	 0.445	Simbad
